Service,Country,Position,Rank,Agent_IDs,Original_USD,Converted_PKR,Final_PKR
Amazon,South Africa,1|0.118,1,2217,0.118000,33.04,49.56
Amazon,Ukraine,3|0.095,3,3335,0.095000,26.60,39.90
Amazon,Ukraine,3|0.286,3,"3340,3393",0.286000,80.08,112.11
Amazon,Egypt,3|0.094,3,"2266,3182",0.094000,26.32,39.48
Amazon,Egypt,3|0.191,3,"2579,2750,3160,3330,3370",0.191000,53.48,74.87
Amazon,Egypt,3|0.099,3,3001,0.099000,27.72,41.58
Amazon,Egypt,3|0.059,3,3168,0.059000,16.52,24.78
Amazon,Egypt,3|0.118,3,3193,0.118000,33.04,49.56
Amazon,Egypt,3|0.06,3,3335,0.060000,16.80,25.20
Amazon,Egypt,3|0.179,3,"3340,3393",0.179000,50.12,70.17
Amazon,Brazil,3|0.268,3,2263,0.268000,75.04,105.06
Amazon,Brazil,3|0.094,3,"2266,3182",0.094000,26.32,39.48
Amazon,Brazil,2|0.103,2,2404,0.103000,28.84,43.26
Amazon,Brazil,3|0.667,3,"2579,3309,3330,3370,3406",0.667000,186.76,233.45
Amazon,Brazil,3|0.555,3,2738,0.555000,155.40,194.25
Amazon,Brazil,3|0.09,3,2739,0.090000,25.20,37.80
Amazon,Brazil,3|0.099,3,3001,0.099000,27.72,41.58
Amazon,Brazil,3|0.08,3,3018,0.080000,22.40,33.60
Amazon,Brazil,3|0.242,3,3089,0.242000,67.76,94.86
Amazon,Brazil,3|0.074,3,3109,0.074000,20.72,31.08
Amazon,Brazil,3|0.087,3,3160,0.087000,24.36,36.54
Amazon,Brazil,3|0.118,3,3193,0.118000,33.04,49.56
Amazon,Brazil,3|0.107,3,"3215,3398",0.107000,29.96,44.94
Amazon,Brazil,2|0.099,2,3229,0.099000,27.72,41.58
Amazon,Brazil,1|0.104,1,3252,0.104000,29.12,43.68
Amazon,Brazil,3|0.312,3,3264,0.312000,87.36,122.30
Amazon,Brazil,3|0.079,3,"3365,3371,3393",0.079000,22.12,33.18
Amazon,Brazil,1|0.116,1,3367,0.116000,32.48,48.72
Amazon,Brazil,2|0.134,2,3416,0.134000,37.52,56.28
Amazon,Haiti,3|0.094,3,"2266,3182",0.094000,26.32,39.48
Amazon,Haiti,3|0.502,3,"2579,2750,3309,3330,3370,3393",0.502000,140.56,175.70
Amazon,Haiti,3|0.099,3,3001,0.099000,27.72,41.58
Amazon,Haiti,3|0.118,3,3193,0.118000,33.04,49.56
Amazon,Haiti,3|0.119,3,3335,0.119000,33.32,49.98
Amazon,Haiti,3|0.174,3,3371,0.174000,48.72,73.08
Amazon,Iran,3|0.094,3,"2266,3182",0.094000,26.32,39.48
Amazon,Iran,3|0.231,3,"2579,3168,3193,3309,3330,3370,3371,3393",0.231000,64.68,90.55
Amazon,Iran,3|0.099,3,3001,0.099000,27.72,41.58
Amazon,Peru ,3|0.094,3,"2266,3182",0.094000,26.32,39.48
Amazon,Peru ,3|0.152,3,"2457,2579,2750,3160,3211,3309,3370,3393",0.152000,42.56,63.84
Amazon,Peru ,3|0.099,3,3001,0.099000,27.72,41.58
Amazon,Peru ,3|0.084,3,3168,0.084000,23.52,35.28
Amazon,Peru ,3|0.118,3,3193,0.118000,33.04,49.56
Amazon,Peru ,3|0.095,3,3335,0.095000,26.60,39.90
Amazon,Peru ,3|0.139,3,3371,0.139000,38.92,58.38
Amazon,Viet nam,3|0.094,3,"2266,3182",0.094000,26.32,39.48
Amazon,Viet nam,3|0.054,3,2318,0.054000,15.12,22.68
Amazon,Viet nam,3|0.118,3,"2579,2750,3193,3393",0.118000,33.04,49.56
Amazon,Viet nam,3|0.099,3,3001,0.099000,27.72,41.58
Amazon,Viet nam,3|0.076,3,3237,0.076000,21.28,31.92
Amazon,Viet nam,3|0.059,3,3421,0.059000,16.52,24.78
Amazon,Zimbabwe,3|0.136,3,"2579,3160,3370",0.136000,38.08,57.12
Amazon,Zimbabwe,3|0.099,3,3001,0.099000,27.72,41.58
Amazon,Zimbabwe,3|0.094,3,3182,0.094000,26.32,39.48
Amazon,Zimbabwe,3|0.095,3,3335,0.095000,26.60,39.90
Amazon,Nepal,3|0.094,3,"2266,3182",0.094000,26.32,39.48
Amazon,Nepal,3|0.215,3,"2579,3309,3370,3371,3393,3411",0.215000,60.20,84.28
Amazon,Nepal,3|0.099,3,3001,0.099000,27.72,41.58
Amazon,Nepal,3|0.162,3,3178,0.162000,45.36,68.04
Amazon,Nepal,3|0.118,3,3193,0.118000,33.04,49.56
Amazon,Nepal,3|0.179,3,3335,0.179000,50.12,70.17
Amazon,Uzbekistan,3|0.252,3,"2567,2579,3309,3330,3370,3393",0.252000,70.56,98.78
Amazon,Uzbekistan,3|0.099,3,3001,0.099000,27.72,41.58
Amazon,Uzbekistan,3|0.08,3,3160,0.080000,22.40,33.60
Amazon,Uzbekistan,3|0.19,3,3168,0.190000,53.20,74.48
Amazon,Uzbekistan,3|0.094,3,3182,0.094000,26.32,39.48
Amazon,Uzbekistan,3|0.118,3,3193,0.118000,33.04,49.56
Amazon,Uzbekistan,3|0.095,3,3335,0.095000,26.60,39.90
Amazon,Nigeria,3|0.094,3,"2266,3182",0.094000,26.32,39.48
Amazon,Nigeria,3|0.263,3,"2567,2579,2750,3160,3309,3330,3370,3393",0.263000,73.64,103.10
Amazon,Nigeria,3|0.099,3,3001,0.099000,27.72,41.58
Amazon,Nigeria,3|0.084,3,3168,0.084000,23.52,35.28
Amazon,Nigeria,3|0.118,3,3193,0.118000,33.04,49.56
Amazon,Swaziland,3|0.094,3,"2266,3182",0.094000,26.32,39.48
Amazon,Swaziland,3|0.099,3,3001,0.099000,27.72,41.58
Amazon,Swaziland,3|0.203,3,"3309,3370,3393",0.203000,56.84,79.58
Amazon,Congo (Dem. Republic),3|0.094,3,"2266,3182",0.094000,26.32,39.48
Amazon,Congo (Dem. Republic),3|0.136,3,"2750,3160,3330,3370",0.136000,38.08,57.12
Amazon,Congo (Dem. Republic),3|0.099,3,3001,0.099000,27.72,41.58
Amazon,France,3|0.334,3,2263,0.334000,93.52,130.93
Amazon,France,3|0.094,3,"2266,3182",0.094000,26.32,39.48
Amazon,France,3|0.335,3,"2442,2738",0.335000,93.80,131.32
Amazon,France,3|5.883,3,"2567,2579,3309,3330,3370,3393",5.883000,1647.24,2059.05
Amazon,France,1|0.234,1,2739,0.234000,65.52,91.73
Amazon,France,3|0.126,3,2750,0.126000,35.28,52.92
Amazon,France,2|0.242,2,3109,0.242000,67.76,94.86
Amazon,France,2|0.235,2,3160,0.235000,65.80,92.12
Amazon,France,3|0.091,3,"3168,3418",0.091000,25.48,38.22
Amazon,France,3|0.118,3,3193,0.118000,33.04,49.56
Amazon,France,2|0.291,2,3329,0.291000,81.48,114.07
Amazon,France,3|0.794,3,3371,0.794000,222.32,277.90
Amazon,France,3|0.267,3,"3389,3403",0.267000,74.76,104.66
Amazon,France,3|2.331,3,3394,2.331000,652.68,815.85
Amazon,France,3|0.187,3,3414,0.187000,52.36,73.30
Amazon,Botswana,3|0.094,3,"2266,3182",0.094000,26.32,39.48
Amazon,Botswana,3|0.099,3,3001,0.099000,27.72,41.58
Amazon,Botswana,1|0.136,1,3160,0.136000,38.08,57.12
Amazon,Botswana,3|0.136,3,"3309,3370,3371,3393",0.136000,38.08,57.12
Amazon,Mexico,3|0.136,3,"2579,2750,3330,3370",0.136000,38.08,57.12
Amazon,Mexico,3|0.099,3,3001,0.099000,27.72,41.58
Amazon,Mexico,3|0.107,3,3160,0.107000,29.96,44.94
Amazon,Mexico,3|0.094,3,3182,0.094000,26.32,39.48
Amazon,Mexico,1|0.118,1,3193,0.118000,33.04,49.56
Amazon,Mexico,3|0.095,3,3335,0.095000,26.60,39.90
Amazon,Mexico,1|0.072,1,3414,0.072000,20.16,30.24
